"stream","date","time","count","run","adipose_clipped","sex","passage_direction","viewing_condition","spawning_condition","jack_size","method"
"clear creek","2012-12-29","23:14:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","23:45:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","23:54:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","23:55:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","23:58:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-30","00:29:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","00:31:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","01:19:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","01:23:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","01:23:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","03:19:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","04:54:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","05:11:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","06:19:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","07:02:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","07:14:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","07:39:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","08:06:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","08:56:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","12:18:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","12:49:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","14:16:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","15:12:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","17:42:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-30","18:12:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","18:27:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","19:16:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","23:28:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-30","00:29:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-30","00:49:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
