date,redd_id,reach,fish_on_redd,age,run,redd_measured,redd_width,redd_length,pre_redd_depth,redd_pit_depth,redd_tail_depth,pre_redd_substrate_class,redd_substrate_class,tail_substrate_class,velocity
2008-10-07,2008_853,R2,FALSE,2,spring,TRUE,1.90500381000762,2.108204216408433,0.5842011684023368,0.6604013208026417,0.38100076200152405,very fine gravel,very fine gravel,very coarse sand,2.7308749999999997
2008-09-23,2008_854,R2,FALSE,2,spring,TRUE,1.3716027432054865,3.4290068580137163,0.6858013716027432,0.7620015240030481,0.40640081280162565,very coarse sand,very fine gravel,very fine gravel,2.1875
2008-09-23,2008_855,R2,FALSE,2,spring,TRUE,1.4478028956057913,4.724409448818898,0.9144018288036576,1.0160020320040641,0.6096012192024385,very coarse sand,very fine gravel,very coarse sand,1.479625
2008-09-23,2008_856,R2,FALSE,2,spring,FALSE,NA,NA,NA,NA,NA,very fine gravel,very fine gravel,very fine gravel,NA
2008-09-09,2008_857,R2,FALSE,2,spring,TRUE,1.6256032512065026,3.4290068580137163,1.0922021844043688,1.1938023876047752,1.0160020320040641,very coarse sand,very fine gravel,coarse sand,1.58
2008-10-07,2008_858,R2,FALSE,2,spring,TRUE,2.6416052832105668,4.44500889001778,1.0668021336042672,1.1684023368046736,0.38100076200152405,very coarse sand,very coarse sand,very coarse sand,1.31
2008-09-09,2008_859,R2,FALSE,2,spring,TRUE,1.5240030480060962,2.8956057912115827,0.33020066040132084,0.43180086360172726,0.25400050800101603,very fine gravel,very fine gravel,very fine gravel,4.136125
2008-09-23,2008_860,R2,FALSE,2,spring,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-23,2008_861,R2,TRUE,2,spring,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-07,2008_862,R2,FALSE,2,spring,TRUE,1.7526035052070106,3.632207264414529,0.8382016764033529,0.9906019812039625,0.5080010160020321,very coarse sand,very fine gravel,very coarse sand,3.6550000000000002
2008-09-23,2008_863,R2,FALSE,2,spring,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-23,2008_864,R2,FALSE,2,spring,TRUE,3.0480060960121924,3.6576073152146305,0.6858013716027432,1.0160020320040641,0.7366014732029464,very fine gravel,very fine gravel,very fine gravel,1.8199999999999998
2008-09-23,2008_865,R2,FALSE,2,spring,TRUE,3.4290068580137163,7.874015748031496,1.6510033020066042,1.2446024892049785,0.7366014732029464,coarse sand,coarse sand,coarse sand,0.756
2008-09-23,2008_866,R2,TRUE,2,spring,TRUE,2.3368046736093473,4.470408940817882,0.8382016764033529,0.6858013716027432,0.5334010668021336,very coarse sand,very coarse sand,very coarse sand,1.9425
2008-09-23,2008_867,R2,TRUE,2,spring,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
